Name,Wine,Region,Country,Winery,Regional Name,Varietal Name,Year,Rating,Price,Currency,Bottle Type
Maestro Italiano Gran Maestro Primitivo di Manduria 2019,Gran Maestro Primitivo di Manduria,Primitivo di Manduria,Italy,Maestro Italiano,Southern Italy,Primitivo,2019,4,15.95,EUR,Bottle (0.75l)
Damilano Barbera d'Asti 2020,Barbera d'Asti,Barbera d'Asti,Italy,Damilano,Italian,Barbera,2020,4,15.95,EUR,Bottle (0.75l)
Coral Duero enVena 2022,enVena,Toro,Spain,Coral Duero,Spanish,Toro Red,2022,4,15.95,EUR,Bottle (0.75l)
Cignomoro Primitivo di Manduria 2022,Primitivo di Manduria,Primitivo di Manduria,Italy,Cignomoro,Southern Italy,Primitivo,2022,4.2,15.95,EUR,Bottle (0.75l)
Borsao Bodegas Tres Picos Garnacha 2021,Tres Picos Garnacha,Campo de Borja,Spain,Borsao Bodegas,Spanish,Grenache,2021,4,15.95,EUR,Bottle (0.75l)
Proyecto Garnachas de España La Garnacha Perdida 2017,La Garnacha Perdida,Aragón,Spain,Proyecto Garnachas de España,Spanish,Grenache,2017,4,15.95,EUR,Bottle (0.75l)
Maestro Italiano Gran Maestro Primitivo di Manduria 2021,Gran Maestro Primitivo di Manduria,Primitivo di Manduria,Italy,Maestro Italiano,Southern Italy,Primitivo,2021,4,15.95,EUR,Bottle (0.75l)
Domaine de Marotte Cuvée Eline 2014,Cuvée Eline,Ventoux,France,Domaine de Marotte,Southern Rhône,Red,2014,4,15.95,EUR,Bottle (0.75l)
San Marzano Susco 2020,Susco,Salento,Italy,San Marzano,Southern Italy,Red,2020,4.1,15.95,EUR,Bottle (0.75l)
Grand Enclos du Château de Cérons Graves Rouge 2019,Graves Rouge,Graves,France,Grand Enclos du Château de Cérons,Bordeaux Left Bank,Graves Red,2019,4,15.96,EUR,Bottle (0.75l)
Vigna Madre Nobu 1830 Giannicola Di Carlo Montepulciano d'Abruzzo Riserva 2019,Nobu 1830 Giannicola Di Carlo Montepulciano d'Abruzzo Riserva,Montepulciano d'Abruzzo,Italy,Vigna Madre,Italian,Montepulciano d'Abruzzo,2019,4.2,15.98,EUR,Bottle (0.75l)
Abrigo Fratelli Dolcetto di Diano d'Alba Superiore 2022,Dolcetto di Diano d'Alba Superiore,Dolcetto di Diano d'Alba,Italy,Abrigo Fratelli,Northern Italy,Red,2022,4.1,15.99,EUR,Bottle (0.75l)
